form	lemma	POS	morph
ལེའུ་	ལེའུ་	NOUN
ལྔ་པ་	ལྔ་པ་	NUM
།		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
རྩོད་པ་	རྩོད་པ་	VERB
སྤང་བ་	སྤང་བ་	VERB
བསྟན་པ་	བསྟན་པ་	VERB
།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
དེ་	སྟེ་	PART
ལ་	ལ་	PART
རྩོད་པ་	རྩོད་པ་	VERB
སྤང་བ་	སྤང་བ་	VERB
ལ་	ལ་	PART
།		PUNCT
དངོ་	དངོ་	NOUN
སུ་	ལ་	PART
རྩོད་པ་	རྩོད་པ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྒྱུ་ཐབས་	སྒྱུ་ཐབས་	NO_POS
ཀྱིས་	གིས་	PART
རྩོད་པ་	རྩོད་པ་	VERB
འི་	གི་	PART
ལན་	ལན་	NOUN
ནོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
ད་ལྟ་	ད་ལྟ་	OTHER
འི་	གི་	PART
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དང་	དང་	NO_POS
།།		PUNCT
རྒྱ་ནག་	རྒྱ་ནག་	PROPN
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
ལ་	ལ་	PART
།།		PUNCT
ཡ་		
འབབ་	འབབ་	NO_POS
དང་	དང་	NO_POS
ནི་	ནི་	NO_POS
མ་	མ་	OTHER
འཛེག་	འཛེག་	VERB
གཉིས་	གཉིས་	NUM
།།		PUNCT
རིམ་གྱིས་པ་	རིམ་གྱིས་པ་	NO_POS
དང་	དང་	NO_POS
ཅིག་ཅར་བ་	ཅིག་ཅར་བ་	ADV
།།		PUNCT
མིང་འདོགས་	མིང་འདོགས་	NO_POS
བསྒྱུར་བ་	བསྒྱུར་བ་	VERB
མ་གཏོགས་པ་	མ་གཏོགས་པ་	NO_POS
།།		PUNCT
དོན་	དོན་	NOUN
ལ་	ལ་	PART
ཁྱད་པར་	ཁྱད་པར་	NOUN
དབྱེ་བ་	དབྱེ་བ་	VERB
མེད་	མེད་	VERB
།།		PUNCT
ཆོས་ལུགས་	ཆོས་ལུགས་	NOUN
འདི་འདྲ་	འདི་འདྲ་	NO_POS
འབྱུང་བ་	འབྱུང་བ་	VERB
ཡང་	ཀྱང་	PART
།།		PUNCT
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་དཔའ་	སེམས་དཔའ་	NOUN
ཞི་བ་འཚོ་	ཞི་བ་འཚོ་	PROPN
ས་	གིས་	PART
།།		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཁྲི་	ཁྲི་	NUM
སྲོང་	སྲོང་	NO_POS
ལྡེའུ་	ལྡེའུ་	OTHER
བཙན་	བཙན་	VERB
ལ་	ལ་	PART
།།		PUNCT
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
ཇི་བཞིན་	ཇི་བཞིན་	OTHER
ཐོག་	ཐོག་	NOUN
ཏུ་	ལ་	PART
བབ་	བབ་	VERB
།།		PUNCT
ལུང་བསྟན་	ལུང་བསྟན་	NOUN
དེ་ཡང་	དེ་ཡང་	ADV
བཤད་	བཤད་	VERB
ཀྱིས་	གིས་	PART
ཉོན་	ཉོན་	VERB
།།		PUNCT
རྒྱལ་པོ་	རྒྱལ་པོ་	NOUN
ཁྱོད་	ཁྱོད་	PRON
ཀྱི་	གི་	PART
བོད་ཡུལ་	བོད་ཡུལ་	PROPN
འདི་	འདི་	DET
།།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
པདྨ་	པདྨ་	NOUN
འབྱུང་གནས་	འབྱུང་གནས་	NOUN
ཀྱིས་	གིས་	PART
།།		PUNCT
བསྟན་མ་	བསྟན་མ་	NOUN
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
ལ་	ལ་	PART
གཏད་པ་	གཏད་པ་	VERB
ས་	གིས་	PART
།།		PUNCT
མུ་སྟེགས་	མུ་སྟེགས་	NOUN
འབྱུང་བ་	འབྱུང་བ་	VERB
ར་	ལ་	PART
མི་	མི་	PART
འགྱུར་	འགྱུར་	VERB
མོད་	མོད་	VERB
།།		PUNCT
འོན་ཀྱང་	འོན་ཀྱང་	NO_POS
རྟེན་འབྲེལ་	རྟེན་འབྲེལ་	NOUN
འགའ་	འགའ་	DET
ཡི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
།།		PUNCT
ཆོས་ལུགས་	ཆོས་ལུགས་	NOUN
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
འགྲོ་བ་	འགྲོ་བ་	VERB
ར་	ལ་	PART
འགྱུར་	འགྱུར་	VERB
།།		PUNCT
དེ་ཡང་	དེ་ཡང་	ADV
ཐོག་མ་	ཐོག་མ་	NOUN
ར་	ལ་	PART
ང་	ང་	PRON
འདའ་	འདའ་	VERB
ན་	ནས་	PART
།།		PUNCT
རྒྱ་ནག་	རྒྱ་ནག་	PROPN
དགེ་སློང་	དགེ་སློང་	NOUN
བྱུང་	བྱུང་	VERB
ན་	ནས་	PART
ནི་	ནི་	NO_POS
།།		PUNCT
དཀར་པོ་	དཀར་པོ་	ADJ
ཆིག་ཐུབ་	ཆིག་ཐུབ་	OTHER
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
།།		PUNCT
ཅིག་ཅར་བ་	ཅིག་ཅར་བ་	ADV
ཡི་	གི་	PART
ལམ་	གམ་	PART
སྟོན་	སྟོན་	VERB
འགྱུར་	འགྱུར་	VERB
།།		PUNCT
དེ་	སྟེ་	PART
ཚེ་	ཚེ་	NOUN
ང་	ང་	PRON
ཡི་	གི་	PART
སློབ་མ་	སློབ་མ་	NOUN
ནི་	ནི་	NO_POS
།།		PUNCT
མཁས་པ་	མཁས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཀ་མ་ལ་	ཀ་མ་ལ་	NO_POS
།།		PUNCT
ཤྲཱི་		NON_WORD
ལ་	ལ་	PART
ཞེས་་	ཞེས་པ་	PART
རྒྱ་གར་	རྒྱ་གར་	PROPN
ན་	ནས་	PART
།།		PUNCT
སྤྱན་	སྤྱན་	NOUN
དྲངས་	དྲངས་	NO_POS
དེ་	སྟེ་	PART
ཡི་	གིས་	PART
དེ་	སྟེ་	PART
སུན་	སུན་	NO_POS
འབྱིན་	འབྱིན་	VERB
།།		PUNCT
དེ་ནས་	དེ་ནས་	NO_POS
དེ་	སྟེ་	PART
ཡི་	གི་	PART
ཆོས་ལུགས་	ཆོས་ལུགས་	NOUN
བཞིན་	བཞིན་	NOUN
།།		PUNCT
དད་	དད་	VERB
ལྡན་	ལྡན་	VERB
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
སྤྱོད་	སྤྱོད་	VERB
ཅིག་	ཅིག་	PART
གསུངས་	གསུངས་	VERB
།།		PUNCT
དེ་	སྟེ་	PART
ཡི་	གིས་	PART
